Sample,RT,mz,RTobs,dRT,mzobs,dppm,intensity,area,compound
PRISM|8783,432.6,369.3519,432.937806,0.337806000000001,369.3531494140625,3.38272000901973,35328860.0,60999977.70507628,cholesterol
PRISM|8783,420.0,385.3465,419.83071,-0.16928999999999,385.34808349609375,4.13567690330339,8559020.0,16568590.01595459,cholestenone
PRISM|8783,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8550,432.6,369.3519,433.204278,0.604277999999965,369.3531188964844,3.327636897048773,53319040.0,84271030.32828595,cholesterol
PRISM|8550,420.0,385.3465,420.632088,0.63208800000001,385.34796142578125,3.713302711022899,4189836.0,7712136.452125513,cholestenone
PRISM|8550,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8591,432.6,369.3519,432.67371,0.073710000000006,369.3532409667969,3.768301793124226,83852300.0,173955733.7254457,cholesterol
PRISM|8591,420.0,385.3465,420.10152,0.101519999999994,385.3480224609375,3.950888194153016,12221300.0,27258880.15619256,cholestenone
PRISM|8591,450.0,371.3583,448.723344,-1.276656000000003,371.35906982421875,2.07299586077481,13083.16,0.0,coprostanol
PRISM|7989,432.6,369.3519,434.011584,1.411584000000005,369.3531188964844,3.272553784923916,4046032.0,3903710.312190529,cholesterol
PRISM|7989,420.0,385.3465,421.439394,1.439393999999993,385.3479309082031,3.845294646046016,472371.2,572274.8585726229,cholestenone
PRISM|7989,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|7184,432.6,369.3519,432.674538,0.074537999999961,369.35308837890625,3.272553784923916,15765970.0,27842429.20948832,cholesterol
PRISM|7184,420.0,385.3465,419.834844,-0.165156000000025,385.34796142578125,3.766099485002643,11406920.0,22477105.80599982,cholestenone
PRISM|7184,450.0,371.3583,450.596532,0.596532000000025,371.35955810546875,5.031413142682876,56916.95,62317.87665550207,coprostanol
PRISM|7912,432.6,369.3519,434.00712,1.407119999999964,369.35333251953125,3.823384905249083,335174.4,296867.3655481865,cholesterol
PRISM|7912,420.0,385.3465,421.435044,1.435044000000005,385.34808349609375,4.003684968132761,10270610.0,11113073.67759,cholestenone
PRISM|7912,450.0,371.3583,451.39419,1.394189999999981,371.3594055175781,3.360455233406001,642424.1,591482.4293314603,coprostanol
PRISM|8806,432.6,369.3519,432.939582,0.33958199999995,369.3532409667969,3.5479693450865,15841210.0,30268377.40998006,cholesterol
PRISM|8806,420.0,385.3465,419.564964,-0.435036000000025,385.3478698730469,3.845294646046016,687363.5,1214868.301117032,cholestenone
PRISM|8806,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8735,432.6,369.3519,432.402522,-0.197478000000046,369.3531799316406,3.71321868115327,7279123.0,13486185.6787484,cholesterol
PRISM|8735,420.0,385.3465,419.562822,-0.437178000000017,385.34814453125,4.214872064346763,680621.5,1183494.784580615,cholestenone
PRISM|8735,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|7147,432.6,369.3519,433.474512,0.874511999999982,369.35333251953125,3.685677125090841,1304163.0,2027788.226145735,cholesterol
PRISM|7147,420.0,385.3465,420.099786,0.099785999999995,385.3479919433594,3.845294646046016,214294700.0,460048479.0915942,cholestenone
PRISM|7147,450.0,371.3583,450.059058,0.059057999999993,371.35968017578125,3.798739275221181,951069.0,1839719.896249981,coprostanol
PRISM|7421,432.6,369.3519,434.006946,1.406946000000005,369.3532409667969,3.603052457057456,19657890.0,17984839.96878057,cholesterol
PRISM|7421,420.0,385.3465,420.899718,0.899718000000007,385.34820556640625,4.478855934392997,2721628.0,4261906.717418201,cholestenone
PRISM|7421,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8502,432.6,369.3519,434.007384,1.407383999999979,369.3531494140625,3.38272000901973,1026963.0,397301.4859408615,cholesterol
PRISM|8502,420.0,385.3465,421.435194,1.435194000000024,385.3482360839844,4.373262386433509,151610.8,68353.84342570539,cholestenone
PRISM|8502,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8480,432.6,369.3519,432.40215,-0.197850000000017,369.35308837890625,3.189929116890531,25167170.0,46972187.30270082,cholesterol
PRISM|8480,420.0,385.3465,419.295042,-0.704957999999976,385.3479919433594,3.660505937043154,2560159.0,4153125.090309016,cholestenone
PRISM|8480,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8483,432.6,369.3519,432.669162,0.069161999999949,369.35333251953125,3.658135569182313,20193700.0,39798575.33253576,cholesterol
PRISM|8483,420.0,385.3465,419.829456,-0.170544000000007,385.3481140136719,4.188473677283135,2742958.0,5720253.058877266,cholestenone
PRISM|8483,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8565,432.6,369.3519,432.94182,0.341819999999984,369.35308837890625,3.327636897048773,10540730.0,17867458.47724927,cholesterol
PRISM|8565,420.0,385.3465,419.834586,-0.165413999999998,385.3480224609375,3.950888194153016,893598.3,1835989.382888606,cholestenone
PRISM|8565,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8466,432.6,369.3519,433.478838,0.878837999999973,369.353271484375,3.630594013119885,28615550.0,36954353.07290453,cholesterol
PRISM|8466,420.0,385.3465,420.104226,0.104225999999983,385.3480529785156,3.924489807089389,266065200.0,572410710.4564028,cholestenone
PRISM|8466,450.0,371.3583,450.86592,0.865920000000017,371.35955810546875,3.44263349123678,2161763.0,3428476.601410128,coprostanol
PRISM|8843,432.6,369.3519,432.668844,0.068843999999956,369.3531188964844,3.272553784923916,70502520.0,136163811.4598631,cholesterol
PRISM|8843,420.0,385.3465,420.364164,0.364164000000017,385.34808349609375,4.082880129176133,6228321.0,12213365.98852945,cholestenone
PRISM|8843,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|7875,432.6,369.3519,434.006856,1.406856000000005,369.35321044921875,3.437803120990686,16060940.0,18025123.82313948,cholesterol
PRISM|7875,420.0,385.3465,420.097206,0.097206000000028,385.3481750488281,4.399660773349624,3188348.0,6343374.996496808,cholestenone
PRISM|7875,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8513,432.6,369.3519,434.006964,1.40696399999996,369.353271484375,3.795843349186654,19516870.0,16407965.38877052,cholesterol
PRISM|8513,420.0,385.3465,421.167372,1.167372,385.3480224609375,3.950888194153016,83306530.0,91514461.88628018,cholestenone
PRISM|8513,450.0,371.3583,451.39404,1.394040000000018,371.3589782714844,2.949563944252103,134255.1,131461.8764697195,coprostanol
PRISM|7791,432.6,369.3519,434.006646,1.406645999999967,369.3533020019531,3.878468017220039,1207795.0,1151355.339278335,cholesterol
PRISM|7791,420.0,385.3465,421.167066,1.167065999999977,385.3481750488281,4.399660773349624,15738100.0,21738847.46222142,cholestenone
PRISM|7791,450.0,371.3583,450.858696,0.858696000000009,371.3595275878906,3.333062480897786,883442.9,1327505.835259692,coprostanol
PRISM|8753,432.6,369.3519,433.739724,1.139724000000001,369.3535461425781,4.401757581482777,33743470.0,44011051.82186494,cholesterol
PRISM|8753,420.0,385.3465,420.900144,0.900144000000012,385.3484191894531,4.954026900653233,2456218.0,3509613.888604062,cholestenone
PRISM|8753,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|9148,432.6,369.3519,433.73922,1.139219999999966,369.35345458984375,4.126342021320194,3974765.0,4233323.290239326,cholesterol
PRISM|9148,420.0,385.3465,421.434546,1.434546000000012,385.3483581542969,4.637246256479742,1150052.0,1375147.597279913,cholestenone
PRISM|9148,450.0,371.3583,451.126182,1.126181999999972,371.3594665527344,3.141313212574945,9883.214844,0.0,coprostanol
PRISM|9126,432.6,369.3519,433.739364,1.139364,369.35345458984375,4.181425133291151,17059330.0,18703533.61122896,cholesterol
PRISM|9126,420.0,385.3465,421.167174,1.167173999999989,385.3484191894531,4.87483173960986,117729500.0,168803883.7262139,cholestenone
PRISM|9126,450.0,371.3583,450.59142,0.591420000000028,371.3600158691406,4.483558090528701,593911.7,963345.8405730119,coprostanol
PRISM|8675,432.6,369.3519,433.569966,0.969966,369.35345458984375,4.319132913449392,43152680.0,50847091.0284953,cholesterol
PRISM|8675,420.0,385.3465,420.99777,0.997770000000003,385.3482666015625,4.505254321456625,4145326.0,5369268.241609875,cholestenone
PRISM|8675,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|7947,432.6,369.3519,433.741734,1.141733999999985,369.3534851074219,4.264049801324536,7968815.0,8480474.393155646,cholesterol
PRISM|7947,420.0,385.3465,420.634638,0.634637999999995,385.3482666015625,4.584449482499998,47144260.0,81523730.7370559,cholestenone
PRISM|7947,450.0,371.3583,450.326262,0.326261999999986,371.3594970703125,2.785207428590543,296836.0,454499.0378065431,coprostanol
PRISM|8537,432.6,369.3519,434.006814,1.406813999999997,369.35357666015625,4.456840693453734,1978891.0,1596756.589991998,cholesterol
PRISM|8537,420.0,385.3465,421.434624,1.434623999999985,385.34857177734375,5.270807544826724,728867.6,887335.5277284334,cholestenone
PRISM|8537,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8577,432.6,369.3519,434.007198,1.407197999999994,369.353515625,4.319132913449392,1318869.0,1424834.898934704,cholesterol
PRISM|8577,420.0,385.3465,420.899976,0.899975999999981,385.3484191894531,4.901230126673489,893960700.0,1408790912.429732,cholestenone
PRISM|8577,450.0,371.3583,450.591738,0.591738000000021,371.3599548339844,4.428772585206136,8806095.0,15120572.51390706,coprostanol
LLDeep_0026,432.6,369.3519,433.20423,0.604229999999973,369.3492431640625,-7.083071275157732,17220760.0,27637526.37266783,cholesterol
