run_accession	ismA_only_species_mapped	total_reads	spiR_or_ismA_gene_mapped	spiR_and_ismA_species_mapped	spiR_only_species_mapped	spiR_or_ismA_species_mapped	Study	reads_mapped_spiR_species	reads_mapped_ismA_species	reads_mapped_spiR_gene	reads_mapped_ismA_gene	area_coprostanol	intensity_coprostanol
MSM9VZF7	30805	18104876	80	346193	121932	426961	HMP2	422051	352319	52	28	5679501.716	11888360
MSM9VZFR	6241	14471759	0	106171	34328	126937	HMP2	126264	107090	0	0	330089.2245	1315660
MSM9VZGO	17189	11529957	119	98764	191952	259349	HMP2	256929	101973	115	4	21080198.4	95663300
MSM9VZHB	14526	12195893	8	78915	61811	117829	HMP2	115486	81807	8	0	792203.7668	3263737
MSM9VZHF	12376	9561935	15	57734	54645	92151	HMP2	89812	60451	15	0	1201609.205	4659761
MSM9VZHR	19114	11051061	244	274533	82562	321430	HMP2	319696	276999	151	93	19676767.65	40393550
MSM9VZHX	4738	14400694	4	75720	30197	95191	HMP2	94809	76338	4	0	189478.1198	421748.2
MSM9VZI6	8489	14991250	3	104615	52357	138478	HMP2	137638	105805	2	1	13413.78491	72034.49
MSM9VZIM	29354	7428972	675	456885	65956	495187	HMP2	493297	459430	421	250	4635551.637	17672640
MSM9VZIQ	27324	14359704	301	317796	104266	380712	HMP2	378445	321009	201	100	2558679.787	9964810
MSM9VZJ3	8776	23274653	34	209840	82705	273198	HMP2	272420	211051	34	0	480337.2909	2038820
MSM9VZJZ	18762	19070558	8	188282	102916	259614	HMP2	257437	191170	8	0	182211.5426	359475.3
MSM9VZKE	12003	14778076	71	140650	159337	277437	HMP2	275403	143359	71	0	19152940.59	38204570
MSM9VZL9	34566	14309694	344	434370	131009	507707	HMP2	505353	437807	219	125	19242240.9	36173810
MSM9VZLJ	24743	12982539	479	149732	664868	763020	HMP2	759673	154598	479	0	13328161.68	59410850
MSM9VZLP	9539	6882538	111	87724	182031	249740	HMP2	248343	89784	124	22	7791020.42	15593710
MSM9VZLV	19701	10563361	55	153403	107623	225362	HMP2	222555	157096	120	36	809031.0056	3066266
MSM9VZME	4013	10748500	2	57549	29776	77827	HMP2	77453	58080	2	0	160324.3871	699866.2
MSM9VZMM	8743	21737455	101	277393	52397	309587	HMP2	308680	278740	80	21	21815533.16	41821640
MSM9VZMU	22335	16987909	236	356153	86076	406650	HMP2	404877	358762	135	100	16479140.36	64258810
MSM9VZNL	38797	10476672	85	260769	136188	330140	HMP2	324788	267523	63	22	27832545.6	58243890
MSM9VZNX	35110	17629411	752	582580	71342	620233	HMP2	618957	584419	463	288	1723391.517	6747907
MSM9VZOI	6266	11499818	2	52963	30640	71194	HMP2	70479	53934	2	0	86754.09267	353799.3
MSM9VZOO	5849	10323480	0	45588	29983	62170	HMP2	61740	46287	0	0	17352.76568	67666.49
MSM9VZOU	4446	2901686	0	30570	27962	48174	HMP2	47643	31262	0	0	0	14796.2
MSM9VZP3	10005	8433839	0	63465	52936	96622	HMP2	95429	65016	0	0	0	19308.15
MSM9VZPL	20335	14302593	131	193846	326303	465080	HMP2	463609	196479	131	0	1778890.353	7293563
MSMA267V	32839	10968616	630	433843	328105	709634	HMP2	706490	438420	396	231	1417840.949	6447556
MSMA26AL	8115	7034558	18	64031	82589	131217	HMP2	129757	65857	18	0	2925953.149	12353470
MSMA26AZ	17744	12118518	144	173223	66036	212852	HMP2	210803	175770	289	142	1149834.355	4757221
MSMA26AZ_TR	11167	9745393	50	120928	47859	150255	HMP2	149168	122347	183	119	1149834.355	4757221
MSMA26BB	28184	16251331	156	322521	125478	392583	HMP2	389548	326864	90	66	15888602.42	31829450
MSMA26BR	8145	7756226	80	83920	130075	197528	HMP2	196445	85400	74	2	6744453.863	13573070
MSMA26CX	7296	15979853	36	140823	118700	242665	HMP2	241839	141994	36	0	14063853.29	53793830
MSMA26DG	10085	7272867	3	64901	67629	106427	HMP2	105605	66226	3	0	7778.027068	30884.25
MSMA26DO	15008	15651707	0	118265	77661	164940	HMP2	163576	120308	0	0	10639.76627	51037.6
MSMA26EJ	15538	8239267	0	114964	88282	169043	HMP2	167412	117257	0	0	6585.860183	27218.98
MSMA26ET	16134	8024695	49	92769	53256	121307	HMP2	119144	95447	365	249	33946320.33	70964890
MSMAPC5D	59390	11218234	1438	1019916	112486	1076115	HMP2	1074313	1022665	913	516	8091978.059	31786640
MSMAPC6G	15594	14755703	70	199175	197074	358314	HMP2	356514	201674	70	0	16748856.55	63170530
MSMAPC6K	26710	15685742	147	325157	132136	402195	HMP2	399288	329426	105	42	16398083	31928640
MSMAPC7J	23062	13372221	49	169514	201150	329065	HMP2	325387	174208	49	0	445973.9515	1918015
MSMAPC7T	6892	11207377	45	77921	117396	179700	HMP2	179165	78799	45	0	3238773.799	12374400
MSMB4LXW	7732	6685384	13	63434	50184	96866	HMP2	96074	64555	12	1	57063.39435	254804.9
MSMB4LXY	19066	17086210	30	194880	164660	321243	HMP2	318875	198058	30	0	418180.66	1668275
MSMB4LYB	13290	11707439	55	149757	149430	270741	HMP2	269149	151999	55	0	7748492.587	32089940
MSMB4LYH	20505	9889347	183	256599	95225	312351	HMP2	309739	260178	127	56	4190347.564	17155100
MSMB4LZ4	23125	10514077	129	178002	97989	235104	HMP2	232980	180904	278	180	337139.36	1337134
MSMB4LZ8	11547	11137832	82	114979	145595	239073	HMP2	237581	117003	82	0	934793.2277	3734174
MSMB4LZC	5542	7752108	16	51710	48938	90028	HMP2	89479	52528	16	0	1345607.349	2550731
MSMB4LZK	4323	14966899	2	69821	25171	85103	HMP2	84810	70302	2	0	75623.18401	285977.8
MSMB4LZR	8109	12404623	0	62315	45058	91009	HMP2	90210	63505	0	0	0	0
MSMB4LZX	15823	7921947	133	220565	81301	268725	HMP2	266915	222971	96	37	22596698.6	43133190
PSM6XBQY	1381	1529663	1	24123	7306	28616	HMP2	28500	24324	1	0	4453360.739	20950870
PSM6XBQY_TR	2738	4473969	68	71427	17537	82456	HMP2	82235	71727	49	19	4453360.739	20950870
PSM6XBRK	19953	10618550	522	382139	40747	404381	HMP2	403371	383474	311	211	51407411.81	112101000
PSM6XBRK_TR	12318	6974580	341	307252	27982	323457	HMP2	322763	308104	208	133	51407411.81	112101000
PSM6XBSE	4032	3096696	0	29190	24009	44890	HMP2	44551	29688	0	0	0	24735.33
PSM6XBSI	4768	10691894	0	78234	32185	98861	HMP2	98378	78899	0	0	62246.10764	255459.7
PSM6XBSK	17603	11954463	210	315825	79559	361561	HMP2	359428	318608	147	63	19680076.1	78380500
PSM6XBSS	18218	18033174	403	350373	171602	488990	HMP2	487493	352414	267	136	23479434.86	50577750
PSM6XBT3	2610	4454646	0	24674	13901	33418	HMP2	32983	25156	0	0	13115.22952	64472.76
PSM6XBUG	12417	9824926	0	95069	82058	144108	HMP2	143019	96748	0	0	16818.18863	64813.1
PSM6XBUO	15432	12931589	0	131170	105865	195729	HMP2	194513	133075	0	0	14507.10275	85189.12
PSM6XBVM	4445	10082447	0	46825	19605	57966	HMP2	57392	47591	0	0	0	94000.24
PSM7J12F	1862	5912671	0	26312	13287	34521	HMP2	34357	26490	0	0	13384.47307	28187.07
PSM7J12J	2065	8378621	0	9710	9663	14755	HMP2	14604	9929	0	0	24786.22466	98544.28
PSM7J12R	1964	13334827	0	34925	9269	39421	HMP2	39346	35036	0	0	15389.83628	33687.36
PSM7J12V	10110	14308765	101	267021	52866	297015	HMP2	296369	267850	51	46	1839542.484	8012512
PSM7J136	6671	12761489	0	92102	48997	123495	HMP2	122952	92926	0	0	0	42334.97
PSM7J13E	7347	8745029	0	69578	44821	97582	HMP2	96966	70539	0	0	17111.08213	85883.34
PSM7J141	8235	20770851	0	133072	46679	158058	HMP2	157503	133928	0	0	12079.38388	53945.19
PSM7J14L	7044	10013304	0	17406	17699	21036	HMP2	20989	17600	0	0	10780.1402	56244.42
PSM7J14T	11411	7838586	14	106887	76180	162172	HMP2	160583	108939	14	0	704944.951	1459001
PSM7J14X	13554	9221630	61	162151	65683	203044	HMP2	201352	164277	35	26	4569863.821	17723730
PSM7J156	10295	9468933	155	215512	68373	259438	HMP2	258195	217200	112	43	7059372.815	14599120
PSM7J158	6074	11062911	131	80729	243205	311278	HMP2	310450	81846	131	0	2309754.586	4820607
PSM7J15M	7227	5180120	0	61570	54819	95275	HMP2	94764	62370	0	0	0	33130.66
PSM7J15U	10976	4702421	0	76982	57067	109402	HMP2	108592	78245	0	0	11927.50802	53745.01
PSM7J161	10428	15197534	0	24968	25955	30355	HMP2	30312	25190	0	0	4885.762422	22744.26
PSM7J16Y	13049	12062204	112	178305	62431	217605	HMP2	216106	180268	75	37	31597849.69	134115300
PSM7J177	17	89893	0	90	54	118	HMP2	118	90	0	0	0	20706.54
PSM7J17F	743	927681	0	1374	1501	1673	HMP2	1672	1393	0	0	0	0
PSM7J17L	10130	15550953	105	107618	256645	337965	HMP2	337170	108908	105	0	1072117.838	4219647
PSM7J17X	5722	3000360	0	35250	32119	57648	HMP2	56799	36350	0	0	102442.6604	228962
PSM7J193	5462	12477412	3	54384	33710	74230	HMP2	73908	54973	3	0	0	0
PSM7J19B	9538	19162593	136	128150	334787	440541	HMP2	439766	129455	136	0	7290850.961	15952590
PSM7J19J	7792	14471026	63	85490	148064	218358	HMP2	217356	86911	63	0	894834.5102	3775125
PSM7J1A2	10555	6390486	0	40895	34756	59386	HMP2	57960	42849	0	0	9781.363874	38277.15
PSM7J1AU	5282	10576963	14	49553	33404	70433	HMP2	70039	50161	14	0	0	0
PSM7J1BF	11051	13033769	0	116457	48060	144838	HMP2	143693	118242	0	0	26064.09097	103675.6
PSM7J1CC	12412	13913043	45	132301	112753	218316	HMP2	216884	134365	43	2	5896210.681	12106550
PSM7J1CU	17820	12222037	122	212368	71861	254288	HMP2	253244	214100	58	57	2084783.484	4388158
PSMA263W	2562	8241403	0	28927	11513	35492	HMP2	35049	29487	0	0	14365.7234	83240.55
PSMA264Q	2822	7081209	14	20525	31003	44899	HMP2	44671	20895	14	0	175780.3594	409296.8
PSMA265H	14330	6704641	0	94135	79999	139695	HMP2	138337	95958	0	0	93134.51116	413905.6
PSMA265N	4125	5869225	4	49588	38292	79105	HMP2	78516	50393	4	0	214394.2936	448776.5
PSMA265T	9078	12981584	1	108371	59698	152666	HMP2	150351	111021	1	0	42807.3494	207149.4
PSMA265X	7441	10875919	1	98061	48451	129529	HMP2	128753	99201	1	0	7925.271849	30695.99
PSMA266C	2	2235	0	7	4	11	HMP2	9	9	0	0	0	13328.12
PSMA266I	10155	11085507	118	127419	206586	310668	HMP2	309213	129506	118	0	33673398.21	66116670
PSMA266Q	6142	6700613	42	71256	77965	133504	HMP2	132967	72188	42	0	13114464.1	53022690
PSMA2675	14705	9981189	184	224612	96655	285645	HMP2	284274	226620	117	67	1194547.979	4522721
PSMA267J	18127	25912090	110	102526	279524	335550	HMP2	334282	104569	110	0	33457.85914	134705.7
PSMA267P	10586	21008906	0	70024	68872	114273	HMP2	113678	70949	0	0	61204.26339	237420.4
PSMA269W	10847	10229147	180	233993	67884	275493	HMP2	274558	235333	133	47	2011597.685	8501156
PSMA26A3	15071	9769507	114	199534	79240	249275	HMP2	248082	201255	64	50	801483.4137	3030562
PSMB4MBK	15412	8624398	37	122898	76286	166890	HMP2	165308	125142	28	9	41866135.17	82237840
PSMB4MC5	8260	6843732	21	78536	48176	108773	HMP2	107829	79847	14	7	466586.6569	967979.4
